DATE,TITLE,VENUE,TOSS WINNER,TEAM_A,TEAM_A_SCORE,TEAM_B,TEAM_B_SCORE,TEAM WON,PLAYER OF THE MATCH,PLAYER OF THE MATCH SCORE
Saturday 29th June 2024,"ICC Men's T20 World Cup, 2024 - Final","Kensington Oval, Bridgetown, Barbados","TOSS
India elected to bat",SOUTH AFRICA,169/8 (20.0),INDIA,176/7 (20.0),India beat South Africa by 7 runs,Virat KOHLI,"76
(59)"
Thursday 27th June 2024,"ICC Men's T20 World Cup, 2024 - 2nd Semi-Final","Guyana National Stadium, Guyana","TOSS
England elected to field",INDIA,171/7 (20.0),ENGLAND,103 (16.4),India beat England by 68 runs,Axar PATEL,"10
(6)
&
3/23
(4)"
Thursday 27th June 2024,"ICC Men's T20 World Cup, 2024 - 1st Semi-Final","Brian Lara Cricket Academy, Tarouba, Trinidad and Tobago","TOSS
Afghanistan elected to bat",SOUTH AFRICA,60/1 (8.5),AFGHANISTAN,56 (11.5),South Africa beat Afghanistan by 9 wickets,Marco JANSEN,"3/16
(3)"
Tuesday 25th June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 12","Arnos Vale Ground, Arnos Vale, St Vincent","TOSS
Afghanistan elected to bat",AFGHANISTAN,115/5 (20.0),BANGLADESH,105 (17.5),Afghanistan beat Bangladesh by 8 runs (DLS method),Naveen-ul-Haq ,"4/26
(3.5)"
Monday 24th June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 10","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
South Africa elected to field",WEST INDIES,135/8 (20.0),SOUTH AFRICA,124/7 (16.1),South Africa beat West Indies by 3 wickets (DLS method),Tabraiz SHAMSI,"3/27
(4)"
Monday 24th June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 11","Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","TOSS
Australia elected to field",AUSTRALIA,181/7 (20.0),INDIA,205/5 (20.0),India beat Australia by 24 runs,Rohit SHARMA,"92
(41)"
Sunday 23rd June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 8","Arnos Vale Ground, Arnos Vale, St Vincent","TOSS
Australia elected to field",AFGHANISTAN,148/6 (20.0),AUSTRALIA,127 (19.2),Afghanistan beat Australia by 21 runs,Gulbadin NAIB,"0
(1)
&
4/20
(4)"
Sunday 23rd June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 9","Kensington Oval, Bridgetown, Barbados","TOSS
England elected to field",USA,115 (18.5),ENGLAND,117/0 (9.4),England beat USA by 10 wickets,Adil RASHID,"2/13
(4)"
Saturday 22nd June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 6","Kensington Oval, Bridgetown, Barbados","TOSS
West Indies elected to field",USA,128 (19.5),WEST INDIES,130/1 (10.5),West Indies beat USA by 9 wickets,Roston CHASE,"3/19
(4)"
Saturday 22nd June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 7","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
Bangladesh elected to field",INDIA,196/5 (20.0),BANGLADESH,146/8 (20.0),India beat Bangladesh by 50 runs,Hardik PANDYA,"50
(27)
&
1/32
(3)"
Friday 21st June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 4","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
Australia elected to field",AUSTRALIA,100/2 (11.2),BANGLADESH,140/8 (20.0),Australia beat Bangladesh by 28 runs (DLS method),Pat CUMMINS,"3/29
(4)"
Friday 21st June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 5","Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","TOSS
England elected to field",ENGLAND,156/6 (20.0),SOUTH AFRICA,163/6 (20.0),South Africa beat England by 7 runs,Quinton DE KOCK,"65
(38)"
Thursday 20th June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 2","Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","TOSS
England elected to field",ENGLAND,181/2 (17.3),WEST INDIES,180/4 (20.0),England beat West Indies by 8 wickets,Phil SALT,"87
(47)"
Thursday 20th June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 3","Kensington Oval, Bridgetown, Barbados","TOSS
India elected to bat",AFGHANISTAN,134 (20.0),INDIA,181/8 (20.0),India beat Afghanistan by 47 runs,Suryakumar YADAV,"53
(28)"
Wednesday 19th June 2024,"ICC Men's T20 World Cup, 2024 - Super Eight - Match 1","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
USA elected to field",USA,176/6 (20.0),SOUTH AFRICA,194/4 (20.0),South Africa beat USA by 18 runs,Quinton DE KOCK,"74
(40)"
Tuesday 18th June 2024,"ICC Men's T20 World Cup, 2024 - Match 40","Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","TOSS
Afghanistan elected to field",WEST INDIES,218/5 (20.0),AFGHANISTAN,114 (16.2),West Indies beat Afghanistan by 104 runs,Nicholas POORAN,"98
(53)"
Monday 17th June 2024,"ICC Men's T20 World Cup, 2024 - Match 37","Arnos Vale Ground, Arnos Vale, St Vincent","TOSS
Nepal elected to field",BANGLADESH,106 (19.3),NEPAL,85 (19.2),Bangladesh beat Nepal by 21 runs,Tanzim HASAN SAKIB,"3
(5)
&
4/7
(4)"
Monday 17th June 2024,"ICC Men's T20 World Cup, 2024 - Match 38","Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","TOSS
Netherlands elected to field",SRI LANKA,201/6 (20.0),NETHERLANDS,118 (16.4),Sri Lanka beat Netherlands by 83 runs,Charith ASALANKA,"46
(21)"
Monday 17th June 2024,"ICC Men's T20 World Cup, 2024 - Match 39","Brian Lara Cricket Academy, Tarouba","TOSS
New Zealand elected to field",NEW ZEALAND,79/3 (12.2),PAPUA NEW GUINEA,78 (19.4),New Zealand beat Papua New Guinea by 7 wickets,Lockie FERGUSON,"3/0
(4)"
Saturday 15th June 2024,"ICC Men's T20 World Cup, 2024 - Match 34","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
Namibia elected to field",NAMIBIA,84/3 (10.0),ENGLAND,122/5 (10.0),England beat Namibia by 41 runs (DLS method),Harry BROOK,"47
(20)"
Sunday 16th June 2024,"ICC Men's T20 World Cup, 2024 - Match 35","Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","TOSS
Australia elected to field",AUSTRALIA,186/5 (19.4),SCOTLAND,180/5 (20.0),Australia beat Scotland by 5 wickets,Marcus STOINIS,"59
(29)"
Sunday 16th June 2024,"ICC Men's T20 World Cup, 2024 - Match 36","Central Broward Park & Broward County Stadium, Lauderhill, Florida","TOSS
Pakistan elected to field",PAKISTAN,111/7 (18.5),IRELAND,106/9 (20.0),Pakistan beat Ireland by 3 wickets,Shaheen AFRIDI,"3/22
(4)
&
13
(5)"
Saturday 15th June 2024,"ICC Men's T20 World Cup, 2024 - Match 31","Arnos Vale Ground, Arnos Vale, St Vincent","TOSS
Nepal elected to field",SOUTH AFRICA,115/7 (20.0),NEPAL,114/7 (20.0),South Africa beat Nepal by 1 run,Tabraiz SHAMSI,"4/19
(4)"
Saturday 15th June 2024,"ICC Men's T20 World Cup, 2024 - Match 32","Brian Lara Cricket Academy, Tarouba","TOSS
New Zealand elected to field",NEW ZEALAND,41/1 (5.2),UGANDA,40 (18.4),New Zealand beat Uganda by 9 wickets,Tim SOUTHEE,"3/4
(4)"
Friday 14th June 2024,"ICC Men's T20 World Cup, 2024 - Match 28","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
England elected to field",ENGLAND,50/2 (3.1),OMAN,47 (13.2),England beat Oman by 8 wickets,Adil RASHID,"4/11
(4)"
Friday 14th June 2024,"ICC Men's T20 World Cup, 2024 - Match 29","Brian Lara Cricket Academy, Tarouba","TOSS
Afghanistan elected to field",AFGHANISTAN,101/3 (15.1),PAPUA NEW GUINEA,95 (19.5),Afghanistan beat Papua New Guinea by 7 wickets,Fazalhaq FAROOQI,"3/16
(4)"
Thursday 13th June 2024,"ICC Men's T20 World Cup, 2024 - Match 26","Brian Lara Cricket Academy, Tarouba","TOSS
New Zealand elected to field",WEST INDIES,149/9 (20.0),NEW ZEALAND,136/9 (20.0),West Indies beat New Zealand by 13 runs,Sherfane RUTHERFORD,"68
(39)"
Thursday 13th June 2024,"ICC Men's T20 World Cup, 2024 - Match 27","Arnos Vale Ground, Arnos Vale, St Vincent","TOSS
Netherlands elected to field",BANGLADESH,159/5 (20.0),NETHERLANDS,134/8 (20.0),Bangladesh beat Netherlands by 25 runs,Shakib AL HASAN,"64
(46)
&
0/29
(4)"
Wednesday 12th June 2024,"ICC Men's T20 World Cup, 2024 - Match 24","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
Australia elected to field",AUSTRALIA,74/1 (5.4),NAMIBIA,72 (17.0),Australia beat Namibia by 9 wickets,Adam ZAMPA,"4/12
(4)"
Wednesday 12th June 2024,"ICC Men's T20 World Cup, 2024 - Match 25","Nassau County International Cricket Stadium, New York","TOSS
India elected to field",USA,110/8 (20.0),INDIA,111/3 (18.2),India beat USA by 7 wickets,Arshdeep SINGH,"4/9
(4)"
Tuesday 11th June 2024,"ICC Men's T20 World Cup, 2024 - Match 22","Nassau County International Cricket Stadium, New York","TOSS
Pakistan elected to field",PAKISTAN,107/3 (17.3),CANADA,106/7 (20.0),Pakistan beat Canada by 7 wickets,Mohammad AMIR,"2/13
(4)"
Sunday 9th June 2024,"ICC Men's T20 World Cup, 2024 - Match 19","Nassau County International Cricket Stadium, New York","TOSS
Pakistan elected to field",INDIA,119 (19.0),PAKISTAN,113/7 (20.0),India beat Pakistan by 6 runs,Jasprit BUMRAH,"0
(1)
&
3/14
(4)"
Sunday 9th June 2024,"ICC Men's T20 World Cup, 2024 - Match 20","Sir Vivian Richards Stadium, North Sound, Antigua","TOSS
Oman elected to bat",OMAN,150/7 (20.0),SCOTLAND,153/3 (13.1),Scotland beat Oman by 7 wickets,Brandon MCMULLEN,"61
(31)"
Monday 10th June 2024,"ICC Men's T20 World Cup, 2024 - Match 21","Nassau County International Cricket Stadium, New York","TOSS
South Africa elected to bat",SOUTH AFRICA,113/6 (20.0),BANGLADESH,109/7 (20.0),South Africa beat Bangladesh by 4 runs,Heinrich KLAASEN,"46
(44)"
Saturday 8th June 2024,"ICC Men's T20 World Cup, 2024 - Match 17","Kensington Oval, Bridgetown, Barbados","TOSS
England elected to field",AUSTRALIA,201/7 (20.0),ENGLAND,165/6 (20.0),Australia beat England by 36 runs,Adam ZAMPA,"2/28
(4)"
Sunday 9th June 2024,"ICC Men's T20 World Cup, 2024 - Match 18","Guyana National Stadium, Guyana","TOSS
West Indies elected to bat",WEST INDIES,173/5 (20.0),UGANDA,39 (12.0),West Indies beat Uganda by 134 runs,Akeal HOSEIN,"5/11
(4)"
Saturday 8th June 2024,"ICC Men's T20 World Cup, 2024 - Match 14","Guyana National Stadium, Guyana","TOSS
New Zealand elected to field",NEW ZEALAND,75 (15.2),AFGHANISTAN,159/6 (20.0),Afghanistan beat New Zealand by 84 runs,Rahmanullah GURBAZ,"80
(56)"
Saturday 8th June 2024,"ICC Men's T20 World Cup, 2024 - Match 15","Grand Prairie Cricket Stadium, Dallas","TOSS
Bangladesh elected to field",SRI LANKA,124/9 (20.0),BANGLADESH,125/8 (19.0),Bangladesh beat Sri Lanka by 2 wickets,Rishad HOSSAIN,"3/22
(4)
&
1
(3)"
Saturday 8th June 2024,"ICC Men's T20 World Cup, 2024 - Match 16","Nassau County International Cricket Stadium, New York","TOSS
South Africa elected to field",NETHERLANDS,103/9 (20.0),SOUTH AFRICA,106/6 (18.5),South Africa beat Netherlands by 4 wickets,David MILLER,"59
(51)"
Thursday 6th June 2024,"ICC Men's T20 World Cup, 2024 - Match 11","Grand Prairie Cricket Stadium, Dallas","TOSS
USA elected to field",USA,159/3 (20.0),PAKISTAN,159/7 (20.0),Pakistan tied with USA (USA win Super Over by 5 runs),Monank PATEL,"50
(38)"
Friday 7th June 2024,"ICC Men's T20 World Cup, 2024 - Match 12","Kensington Oval, Bridgetown, Barbados","TOSS
Namibia elected to bat",NAMIBIA,155/9 (20.0),SCOTLAND,157/5 (18.3),Scotland beat Namibia by 5 wickets,Michael LEASK,"1/16
(2)
&
35
(17)"
Friday 7th June 2024,"ICC Men's T20 World Cup, 2024 - Match 13","Nassau County International Cricket Stadium, New York","TOSS
Ireland elected to field",CANADA,137/7 (20.0),IRELAND,125/7 (20.0),Canada beat Ireland by 12 runs,Nicholas KIRTON,"49
(35)"
Thursday 6th June 2024,"ICC Men's T20 World Cup, 2024 - Match 9","Guyana National Stadium, Guyana","TOSS
Uganda elected to field",PAPUA NEW GUINEA,77 (19.1),UGANDA,78/7 (18.2),Uganda beat Papua New Guinea by 3 wickets,Riazat ALI SHAH,"33
(56)"
Thursday 6th June 2024,"ICC Men's T20 World Cup, 2024 - Match 10","Kensington Oval, Bridgetown, Barbados","TOSS
Oman elected to field",AUSTRALIA,164/5 (20.0),OMAN,125/9 (20.0),Australia beat Oman by 39 runs,Marcus STOINIS,"67
(36)
&
3/19
(3)"
Tuesday 4th June 2024,"ICC Men's T20 World Cup, 2024 - Match 7","Grand Prairie Cricket Stadium, Dallas","TOSS
Netherlands elected to field",NETHERLANDS,109/4 (18.4),NEPAL,106 (19.2),Netherlands beat Nepal by 6 wickets,Tim PRINGLE,"3/20
(4)"
Wednesday 5th June 2024,"ICC Men's T20 World Cup, 2024 - Match 8","Nassau County International Cricket Stadium, New York","TOSS
India elected to field",INDIA,97/2 (12.2),IRELAND,96 (16.0),India beat Ireland by 8 wickets,Jasprit BUMRAH,"2/6
(3)"
Tuesday 4th June 2024,"ICC Men's T20 World Cup, 2024 - Match 5","Guyana National Stadium, Guyana","TOSS
Uganda elected to field",AFGHANISTAN,183/5 (20.0),UGANDA,58 (16.0),Afghanistan beat Uganda by 125 runs,Fazalhaq FAROOQI,"5/9
(4)"
Monday 3rd June 2024,"ICC Men's T20 World Cup, 2024 - Match 3","Kensington Oval, Bridgetown, Barbados","TOSS
Namibia elected to field",NAMIBIA,109/6 (20.0),OMAN,109 (19.4),Oman tied with Namibia (Namibia win Super Over by 11 runs),David WIESE,"3/28
(3.4)
&
9
(8)"
Monday 3rd June 2024,"ICC Men's T20 World Cup, 2024 - Match 4","Nassau County International Cricket Stadium, New York","TOSS
Sri Lanka elected to bat",SRI LANKA,77 (19.1),SOUTH AFRICA,80/4 (16.2),South Africa beat Sri Lanka by 6 wickets,Anrich NORTJE,"4/7
(4)"
Sunday 2nd June 2024,"ICC Men's T20 World Cup, 2024 - Match 1","Grand Prairie Cricket Stadium, Dallas","TOSS
USA elected to field",USA,197/3 (17.4),CANADA,194/5 (20.0),USA beat Canada by 7 wickets,Aaron JONES,"94
(40)"
Sunday 2nd June 2024,"ICC Men's T20 World Cup, 2024 - Match 2","Guyana National Stadium, Guyana","TOSS
West Indies elected to field",WEST INDIES,137/5 (19.0),PAPUA NEW GUINEA,136/8 (20.0),West Indies beat Papua New Guinea by 5 wickets,Roston CHASE,"0/26
(4)
&
42
(27)"
